,pv_feedin
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.03521527625465852
10,0.08145040337334417
11,0.09297403541929887
12,0.07705370240688263
13,0.06415127802828685
14,0.03793366369067939
15,0.005577630336858689
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.08103011358605208
34,0.15795924523802948
35,0.14568064497281982
36,0.07803084631061809
37,0.08258914430963647
38,0.061157430535311454
39,0.01461558332279112
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.03571363328763834
58,0.0797253977700296
59,0.09217775525872104
60,0.07837083338286084
61,0.06345708412383409
62,0.03662022019134284
63,0.005879956131624349
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.03489173062358105
82,0.07817328547950252
83,0.09103295459481432
84,0.07812535092130915
85,0.06382983706485139
86,0.03741767941968591
87,0.006329847855025574
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.036797832148694164
106,0.08155499095852836
107,0.09469703521222265
108,0.08122940719280011
109,0.06648048048220961
110,0.03930147131903739
111,0.006970900376862116
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.07606804367455622
130,0.14408299301978286
131,0.13748879320125196
132,0.08157616105889892
133,0.06563693635446718
134,0.03819142558207918
135,0.007220191943627002
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.03612831920092242
154,0.07958409827557453
155,0.09224407119923407
156,0.0790096381509014
157,0.06351319749417757
158,0.03701086237730039
159,0.007070877686514013
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.036798209190540034
178,0.08065929888644824
179,0.09377053486536746
180,0.080835581096453
181,0.09448734866494285
182,0.07762101503845155
183,0.02488118138367619
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.038623485844454984
202,0.08381158128401148
203,0.09753576232336424
204,0.08467287468912456
205,0.06799174947044741
206,0.0400365396667671
207,0.008243731809929999
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.09375839916951181
226,0.16796871985957987
227,0.1536235292512151
228,0.08289287616689048
229,0.10967916259379451
230,0.09818469285175924
231,0.03725613310678746
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0957827042851772
250,0.17072467328378
251,0.15657000301727247
252,0.08494005140470663
253,0.09446162548802643
254,0.07652069368080454
255,0.02707057558202447
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.078551486731184
274,0.14042856003140136
275,0.13716694660291348
276,0.08825310701621568
277,0.08766049715085643
278,0.06537969482461409
279,0.02164900112333153
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.04122741521200732
298,0.08502805134965392
299,0.10069002280854561
300,0.09083821857326174
301,0.09630812478501412
302,0.07619881718973295
303,0.02874228893294651
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.042797420005004506
322,0.08681419277200574
323,0.10221026724984714
324,0.0920923081313115
325,0.09104615311731973
326,0.0684779909850182
327,0.025010234101891644
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.04317251112581023
346,0.08689442867078738
347,0.10259546642632628
348,0.09284217342802421
349,0.07350335158672752
350,0.04403461138810366
351,0.011901211521706178
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.11699552491993165
370,0.253738064903632
371,0.3407066217420759
372,0.36713467795670757
373,0.27274713719202837
374,0.15088378587328893
375,0.04072402933006046
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.00042238476541168714
393,0.11326670818054417
394,0.20567246768290245
395,0.22669042967442252
396,0.1903898259108194
397,0.14168092328455809
398,0.0784036178314522
399,0.020926044860360014
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.028653602584242106
418,0.05802132408854509
419,0.06994397900921503
420,0.06543868150044081
421,0.05075686704386197
422,0.02949110116682585
423,0.007899084984214044
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0010197166148982783
441,0.1254535943030678
442,0.20882636500613924
443,0.2086560384599065
444,0.14841584326660293
445,0.1286617313405367
446,0.08759342106757256
447,0.03437539300148952
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
