Förderprogramm;Link;Beschreibung
KfW - Energieeffizient Sanieren (1);https://www.kfw.de/inlandsfoerderung/Privatpersonen/Bestandsimmobilien/Finanzierungsangebote/Energieeffizient-Sanieren-Kredit-(151-152)/;Kreditförderung für energetische Sanierung von Wohngebäuden (privat oder gewerblich), Erneuerung der Heizungsanlage, Max. 50.000 Euro pro Wohneinheit
KfW - Energieeffizient Sanieren (2);https://www.kfw.de/inlandsfoerderung/Privatpersonen/Bestandsimmobilien/Finanzierungsangebote/Energieeffizient-Sanieren-Zuschuss-(430)/;Zuschuss für die energetische Sanierung von Wongebäuden (privat), Erneuerung der Heizungsanlage, Bis zu 30.000 Euro pro Wohneinheit
KfW - Energieeffizient Sanieren (3);https://www.kfw.de/inlandsfoerderung/Privatpersonen/Bestandsimmobilien/Finanzierungsangebote/Energieeffizient-Sanieren-Erg%C3%A4nzungskredit-(167)/;Ergänzungskredit zum Zuschuss der BAFA, bei Einbau einer Heizungsanlage auf Basis erneuerbarer Energien (privat oder gewerblich), Max. 50.000 Euro pro Wohneinheit
KfW - Energieeffizient Sanieren (4);https://www.kfw.de/inlandsfoerderung/Privatpersonen/Bestandsimmobilie/F%C3%B6rderprodukte/Energieeffizient-Bauen-und-Sanieren-Zuschuss-Brennstoffzelle-(433)/;Zuschuss für ein stationäres Brennstoffzellensystem für Eigentümer eines Wohngebäudes je nach elektrischer Leistung bis zu 28.200 Euro pro Brennstoffzelle
BAFA - Heizen mit erneuerbaren Energien (1);http://www.bafa.de/DE/Energie/Heizen_mit_Erneuerbaren_Energien/Biomasse/biomasse_node.html;Zuschuss für die Errichtung und Erweiterung von Biomasseanlagen, Bis zu 8.000 Euro pro Vorhaben
BAFA - Heizen mit erneuerbaren Energien (2);http://www.bafa.de/DE/Energie/Heizen_mit_Erneuerbaren_Energien/Solarthermie/solarthermie_node.html;Zuschuss für Errichtung und Erweiterung thermischer Solarkollektoren, Bis zu 20.000 Euro pro Vorhaben
BAFA - Heizen mit erneuerbaren Energien (3);http://www.bafa.de/DE/Energie/Heizen_mit_Erneuerbaren_Energien/Waermepumpen/waermepumpen_node.html;"Zuschuss für Errichtung von effizienten Wärmepumpen, Bis zu 15.000 Euro pro Vorhaben"
BAFA - Heizen mit erneuerbaren Energien (4);http://www.bafa.de/DE/Energie/Energieeffizienz/Heizungsoptimierung/heizungsoptimierung_node.html;Zuschuss für den Austausch alter Heizungspumpen und Warmwasserzirkulationspumpen, Bis zu 25.000 euro pro Standort
BAFA - Heizen mit erneuerbaren Energien (5);http://www.bafa.de/DE/Energie/Energieeffizienz/Kraft_Waerme_Kopplung/Mini_KWK/mini_kwk_node.html;Einmaliger Investitionszuschuss für Mini-KWK-Anlage, Basisförderung von 3.500 Euro, Bonusförderung möglich
